Rank,Club,Country,Level,Elo,XG Elo,Transfer_Elo,Adjusted_Elo_Rating
67,Getafe,ESP,1,1666.35192871,1627.839333051246,1582.4708029007666,1656.7237797953114
68,Mainz 05,GER,1,1653.16687012,1659.0383761996313,1588.611207477867,1654.634746639908
69,Leeds United,ENG,2,1654.32421875,1651.5716784744886,1511.8561502641144,1653.6360836811223
70,Borussia Mönchengladbach,GER,1,1662.05615234,1628.1843433585589,1539.4879708610654,1653.5882000946397
71,VfL Wolfsburg,GER,1,1641.15100098,1660.6543587826118,1616.243028074818,1646.026840430653
72,Monza,ITA,1,1683.71057129,1522.6132716156123,1493.434936532814,1643.436246371403
73,FC Augsburg,GER,1,1657.68005371,1595.478546519894,1499.575341109914,1642.1296769124735
74,Sparta Prague,CZE,1,1661.97363281,1577.5210674556135,1287.7313831999566,1640.8604914714033
75,Mallorca,ESP,1,1642.66357422,1634.749766300175,1536.4177685725151,1640.6851222400437
76,Genoa,ITA,1,1660.11987305,1581.916568176393,1499.575341109914,1640.5690468315984
77,Celta Vigo,ESP,1,1638.75756836,1632.5477796279654,1530.2773639954153,1637.2051211769913
78,Anderlecht,BEL,1,1653.25415039,1588.656281884475,1410.539474741961,1637.1046832636187
79,Union Berlin,GER,1,1649.88513184,1594.7956630133758,1567.1197914580162,1636.112764633344
80,Rayo Vallecano,ESP,1,1629.79125977,1638.8344940746222,1471.943520512963,1632.0520683461555
81,TSG Hoffenheim,GER,1,1643.32592773,1592.065974561944,1594.7516120549672,1630.510939437986
82,Union SG,BEL,1,1674.67358398,1497.6072655746054,,1630.4070043786514
83,Strasbourg,FRA,1,1633.4543457,1616.5989563998949,1404.3990701648606,1629.2404983749736
84,Montpellier,FRA,1,1634.38269043,1610.1041136357246,1336.8546198167583,1628.3130462314311
85,Reims,FRA,1,1632.91247559,1605.809269812949,1478.0839250900633,1626.1366741457373
86,Copenhagen,DEN,1,1640.43737793,1581.9686474272025,1327.644012951108,1625.8201953043008
87,Udinese,ITA,1,1645.11523438,1554.7950580618624,1560.9793868809163,1622.5351903004657
88,Burnley,ENG,1,1629.38635254,1601.2088445186014,1539.4879708610654,1622.3419755346504
89,Braga,POR,1,1637.00585938,1576.1173063209326,1490.3647342442634,1621.7837211152332
90,Toulouse,FRA,1,1634.97290039,1575.527508079405,1339.9248221053085,1620.1115523123513
91,Southampton,ENG,2,1617.23498535,1626.4329115533342,1591.6814097664173,1619.5344669008336
92,Werder Bremen,GER,1,1620.24621582,1601.8375479512433,1493.434936532814,1615.644048852811
93,Midtjylland,DEN,1,1637.43994141,1539.3409540352159,1309.2227992198075,1612.915194566304
94,Twente,NED,1,1624.47253418,1567.962332047251,1428.9606884732616,1610.3449836468126
95,Rangers,SCO,1,1627.3067627,1555.3154426206777,1352.205631259509,1609.3089326801694
96,Alavés,ESP,1,1601.81408691,1627.5380809994604,1220.1869328518542,1608.245085432365
97,Ajax,NED,1,1624.38916016,1545.9908700403973,1441.241497627462,1604.7895876300993
98,Genk,BEL,1,1614.25866699,1576.3567909055334,1379.8374518564597,1604.7831979688833
99,Eibar,ESP,2,1568.68591309,1710.0114203768642,,1604.017289911716
100,Celtic,SCO,1,1617.03222656,1564.961187669528,1438.1712953389117,1604.014466837382
101,Leganés,ESP,2,1564.72070312,1717.1605539684417,,1602.8306658321103
102,1. FC Heidenheim,GER,1,1626.29187012,1529.8392317510281,1238.6081465831548,1602.1787105277572
103,Cádiz,ESP,1,1602.46801758,1599.3086499897286,1490.3647342442634,1601.678175682432
104,PAOK,GRE,1,1613.54602051,1565.8743731751078,1410.539474741961,1601.628108676277
105,Lecce,ITA,1,1606.75537109,1582.9421680429455,1330.714215239658,1600.8020703282364
106,Las Palmas,ESP,1,1616.27697754,1551.4871140446262,1342.9950243938583,1600.0795116661566
107,1. FC Köln,GER,1,1618.83508301,1542.5783794003394,1475.013722801513,1599.770907107585
108,Olympiacos,GRE,1,1614.27966309,1553.946786393406,1428.9606884732616,1599.1964439158517
109,Shakhtar Donetsk,UKR,1,1603.09899902,1583.8125059937772,1355.275833548059,1598.2773757634445
110,Levante,ESP,2,1565.54663086,1695.764323094704,,1598.101053918676
111,Luton Town,ENG,1,1607.48632812,1568.1492348774511,1401.3288678763106,1597.6520548093627
112,Espanyol,ESP,2,1596.05700684,1596.5610528601871,,1596.1830183450468
113,Gent,BEL,1,1595.44152832,1590.4731056300259,1404.3990701648606,1594.1994226475067
114,Hellas Verona,ITA,1,1605.07336426,1552.536689347322,1471.943520512963,1591.9391955318304
115,Sassuolo,ITA,1,1608.52636719,1540.9766962136603,1548.6985777267157,1591.6389494459152
116,Empoli,ITA,1,1616.58459473,1514.346314855138,1444.311699916012,1591.0250247612844
117,Cagliari,ITA,1,1608.10803223,1536.4442805756837,1416.6798793190612,1590.192094316421
118,AEK Athens,GRE,1,1601.95373535,1554.1022505373094,1401.3288678763106,1589.9908641468273
119,Krasnodar,RUS,1,1560.79614258,1655.4187962902743,,1584.4518060075684
120,Valladolid,ESP,2,1588.79296875,1571.1209771440485,,1584.374970848512
121,VfL Bochum,GER,1,1593.13122559,1549.9827198829646,1413.609677030511,1582.3440991632413
122,Qarabağ,AZE,0,1596.61535645,1535.3148293195582,,1581.2902246673896
123,Hamburger SV,GER,2,1558.98571777,1646.1466685852613,1355.275833548059,1580.7759554738154
124,Fortuna Düsseldorf,GER,2,1581.17504883,1568.7816498586033,1293.8717877770569,1578.0766990871507
125,Panathinaikos,GRE,1,1582.56640625,1560.0325885416494,1407.4692724534107,1576.9329518229124
126,Frosinone,ITA,1,1589.03686523,1539.6804591791804,1232.4677420060548,1576.6977637172952
127,Sheffield United,ENG,1,1571.90881348,1589.0014655397365,,1576.1819764949341
128,Young Boys,SUI,1,1575.81298828,1568.8093633272324,1379.8374518564597,1574.062082041808
129,Viktoria Plzeň,CZE,1,1566.3807373,1590.2380062638456,1339.9248221053085,1572.3450545409614
130,Nordsjælland,DEN,1,1592.75305176,1507.954263884686,1143.4318756381015,1571.5533547911716
131,Antwerp,BEL,1,1606.18432617,1467.4953971755224,1478.0839250900633,1571.5120939213807
132,CSKA Moscow,RUS,1,1565.47094727,1584.401248600507,,1570.2035226026267
133,Cercle Brugge,BEL,1,1570.07653809,,,1570.07653809
134,St Pauli,GER,2,1585.203125,1524.18981934,,1569.949798585
135,Ipswich Town,ENG,2,1571.41027832,1555.4738615247306,1247.8187534488052,1567.4261741211826
136,Brøndby,DEN,1,1596.02429199,1471.2255177165096,1223.2571351404042,1564.8245984216273
137,Maccabi Tel Aviv,ISR,1,1586.04284668,1499.727137987033,,1564.4639195067584
138,Bodø/Glimt,NOR,1,1602.82897949,1446.8591527368967,,1563.8365228017242
139,Oviedo,ESP,2,1569.08422852,1544.33496094,,1562.8969116249998
140,Parma,ITA,2,1571.35021973,1536.5655165165444,,1562.654043926636
141,Almería,ESP,1,1551.06469727,1594.774062690599,1459.6627113587626,1561.9920386251497
142,Sturm Graz,AUT,1,1575.07617188,1500.9717437830182,1266.2399671801056,1556.5500648557545
143,Granada,ESP,1,1549.7956543,1573.8565364404405,1401.3288678763106,1555.81087483511
144,Lorient,FRA,1,1566.3137207,1521.3871732576702,1459.6627113587626,1555.0820838394175
145,Huesca,ESP,2,1515.50415039,1665.4770332509725,,1552.9973711052432
146,Vitória de Guimarães,POR,1,1566.14208984,1509.7666699125007,1275.4505740457562,1552.0482348581252
147,Dinamo Zagreb,CRO,1,1543.17407227,1576.6314674155376,1300.012192354157,1551.5384210563843
148,Elche,ESP,2,1550.31311035,1554.6999283711775,1401.3288678763106,1551.4098148552944
149,Hertha BSC,GER,2,1547.84667969,1559.9078268710518,1382.90765414501,1550.8619664852629
150,West Bromwich Albion,ENG,2,1559.96508789,1517.94524509432,1422.8202838961613,1549.46012719108
151,Red Star Belgrade,SRB,1,1550.08068848,1540.703190759592,1367.5566427022593,1547.7363140498978
152,AZ,NED,1,1561.15625,1507.2704628051038,1432.0308907618116,1547.6848032012758
153,Nantes,FRA,1,1548.60400391,1524.037371244411,1456.5925090702124,1542.4623457436028
154,Gijon,ESP,2,1512.72570801,1626.84265137,,1541.25494385
155,Coventry City,ENG,2,1541.37097168,1540.4554861052538,1349.1354289709586,1541.1421002863135
156,Norwich City,ENG,2,1554.43408203,1498.0104158317395,1395.1884632992103,1540.328165480435
157,Auxerre,FRA,2,1548.30603027,1510.024677749297,,1538.735692139824
158,Rostov,RUS,1,1493.66088867,1673.61999512,,1538.6506652825
159,Spartak Moscow,RUS,1,1513.8248291,1612.290319196804,,1538.4412016242009
160,Maccabi Haifa,ISR,1,1581.27600098,1409.722864792675,,1538.3877169331686
161,Clermont,FRA,1,1551.03686523,1494.6197802560828,1407.4692724534107,1536.9325939865207
162,Le Havre,FRA,1,1534.88806152,1541.3113838427696,1306.1525969312572,1536.4938921006924
163,Middlesbrough,ENG,2,1536.89709473,1534.2367748821014,1376.7672495679096,1536.2320147680252
164,Lokomotiv Moscow,RUS,1,1534.0748291,1535.6248832639765,,1534.4623426409942
165,Como,ITA,2,1532.6541748,,,1532.6541748
166,Metz,FRA,1,1542.59277344,1495.0275183017764,1293.8717877770569,1530.701459655444
167,Molde,NOR,1,1548.49133301,1476.091878313725,,1530.3914693359313
168,Holstein,GER,2,1566.8236084,1402.63049316,,1525.77532959
169,Ludogorets Razgrad,BUL,1,1540.23901367,1455.1557157930579,1367.5566427022593,1518.9681892007643
170,Tenerife,ESP,2,1494.07531738,1592.77697754,,1518.75073242
171,Hapoel Be'er Sheva,ISR,1,1504.7175293,1560.2077445361797,,1518.5900831090448
172,Karlsruhe,GER,2,1518.43798828,,,1518.43798828
173,Utrecht,NED,1,1532.02331543,1476.550496427577,1321.5036083740079,1518.155110679394
174,Arouca,POR,1,1525.64624023,1487.2696196876027,1238.6081465831548,1516.0520850944008
175,Santander,ESP,2,1515.91174316,,,1515.91174316
176,Schalke 04,GER,2,1494.09619141,1578.3148455137966,1321.5036083740079,1515.1508549359492
177,Cremonese,ITA,2,1536.83984375,1437.8041514117365,1370.6268449908096,1512.0809206654342
178,İstanbul Başakşehir,TUR,1,1499.56799316,1543.9571820664273,,1510.6652903866068
179,Mechelen,BEL,1,1519.12219238,1475.9453125,,1508.3279724099998
180,Venezia,ITA,2,1542.63696289,1405.2347142992373,1278.5207763343062,1508.2864007423093
181,Hannover 96,GER,2,1492.65441895,1552.3488598917231,1293.8717877770569,1507.5780291854308
182,Burgos,ESP,2,1507.15063477,,,1507.15063477
183,Hull City,ENG,2,1511.81884766,1484.2562422392778,1367.5566427022593,1504.9281963048195
184,Trabzonspor,TUR,1,1499.89990234,1518.240002545842,,1504.4849273914604
185,Dynamo Kyiv,UKR,1,1484.49621582,1563.5014124359295,1287.7313831999566,1504.2475149739826
186,Salernitana,ITA,1,1532.63781738,1411.7260659988726,1484.2243296671634,1502.4098795347181
187,Saint-Étienne,FRA,2,1493.19714355,1524.4476356645102,1290.8015854885066,1501.0097665786275
188,Lech Poznań,POL,1,1502.68359375,1492.6392918515132,1275.4505740457562,1500.1725182753783
189,Darmstadt 98,GER,1,1504.55163574,1479.4980628424921,1309.2227992198075,1498.288242515623
190,Rijeka,CRO,1,1478.31774902,1543.0660765941484,1158.7828870808519,1494.5048309135373
191,St Truiden,BEL,1,1502.99255371,1468.14648438,,1494.2810363775
192,Zaragoza,ESP,2,1479.09521484,1535.74951172,,1493.25878906
193,Dynamo Moskva,RUS,1,1496.62207031,1481.07666016,,1492.7357177725
194,LASK,AUT,1,1487.40466309,1504.3253450140676,1250.8889557373552,1491.634833571017
195,Ferrol,ESP,2,1491.34790039,,,1491.34790039
196,Bristol City,ENG,2,1495.25170898,1473.025214195538,1321.5036083740079,1489.6950852838845
197,Lugano,SUI,1,1496.45385742,1469.335178461333,1284.6611809114065,1489.6741876803335
198,Sunderland,ENG,2,1481.56323242,1502.0432612305515,1306.1525969312572,1486.6832396226378
199,NEC,NED,1,1516.65515137,1394.5842421490502,1229.3975397175045,1486.1374240647624
200,Aarhus,DEN,1,1519.78149414,1383.80493164,,1485.787353515
201,Rapid Wien,AUT,1,1499.1270752,1442.3409235555387,1192.5551122549032,1484.9305372888848
202,Watford,ENG,2,1483.21533203,1483.9592273592525,1404.3990701648606,1483.4013058623132
203,Swansea City,ENG,2,1484.53930664,1476.7923238169556,1333.7844175282082,1482.602560934239
204,Beşiktaş,TUR,1,1489.67004395,1457.3974822165999,,1481.60190351665
205,Hajduk Split,CRO,1,1465.19006348,1528.75109863,1278.5207763343062,1481.0803222675
206,Preston North End,ENG,2,1492.25158691,1447.105839615077,1293.8717877770569,1480.9651500862692
207,Sampdoria,ITA,2,1489.47290039,1452.3832498856286,,1480.2004877639072
208,Servette,SUI,1,1505.42663574,1401.9085251733836,1260.0995626030056,1479.547108098346
209,Legia Warsaw,POL,1,1468.82214355,1511.2408202565334,1281.5909786228563,1479.4268127266332
210,SC Paderborn,GER,2,1480.0390625,1471.295613239636,,1477.853200184909
211,Charleroi,BEL,1,1456.57641602,1539.74853516,1293.8717877770569,1477.369445805
212,Ferencváros,HUN,1,1488.71325684,1442.990636652294,1284.6611809114065,1477.2826017930736
213,Terek Grozny,RUS,1,1427.45471191,1624.98852539,,1476.8381652799999
214,Palermo,ITA,2,1473.82116699,1483.32751465,1293.8717877770569,1476.1977539050001
215,Guingamp,FRA,2,1445.08813477,1565.0230092657714,,1475.0718533939428
216,Spezia,ITA,2,1452.32409668,1541.3722025169377,,1474.5861231392346
217,Sparta Rotterdam,NED,1,1494.57946777,1412.1745588284807,1272.380371757206,1473.97824053462
218,Catanzaro,ITA,2,1473.67333984,,1232.4677420060548,1473.67333984
219,Adana Demirspor,TUR,1,1472.84484863,,,1472.84484863
220,Standard Liège,BEL,1,1464.54394531,1493.814304825936,,1471.861535188984
221,AEK Larnaca,CYP,0,1477.87280273,1451.193726818467,,1471.2030337521169
222,Angers,FRA,2,1460.40441895,1499.9401418078344,,1470.2883496644586
223,OH Leuven,BEL,1,1470.11828613,,1290.8015854885066,1470.11828613
224,Zürich,SUI,1,1466.3692627,1476.9907460216386,1260.0995626030056,1469.0246335304096
225,FCSB,ROM,1,1463.2154541,1482.8642379629625,1281.5909786228563,1468.1276500657407
226,Moreirense,POR,1,1462.46325684,1482.7573344462098,1118.8702573297007,1467.5367762415524
227,Suedtirol,ITA,2,1466.77893066,,,1466.77893066
228,Famalicão,POR,1,1480.0020752,1425.64404697258,1269.3101694686559,1466.412568143145
229,Bordeaux,FRA,2,1443.64489746,1533.0885434397874,,1466.0058089549468
230,Cartagena,ESP,2,1464.68041992,,,1464.68041992
231,Greuther Fürth,GER,2,1455.26098633,1483.9014971891386,,1462.4211140447846
232,Albacete,ESP,2,1459.9173584,1469.91601562,,1462.417022705
233,Austria Wien,AUT,1,1443.09399414,1519.1701312081534,1158.7828870808519,1462.1130284070384
234,Andorra CF,ESP,2,1462.07104492,,,1462.07104492
235,APOEL,CYP,0,1438.06420898,1526.0875030701475,,1460.070032502537
236,Rio Ave,POR,1,1445.66101074,1499.3668533891348,1207.9061236976538,1459.0874714022837
237,Randers,DEN,1,1453.63781738,1473.3457788219469,,1458.5648077404867
238,Alcorcon,ESP,2,1434.61303711,1524.2677002,,1457.0267028824999
239,1. FC Nürnberg,GER,2,1418.68884277,1570.8979870857204,,1456.7411288489302
240,Malmö FF,SWE,1,1461.82568359,1437.3597037688335,,1455.7091886347084
241,Brescia,ITA,2,1463.24353027,1431.5668632523468,,1455.3243635155868
242,Blackburn Rovers,ENG,2,1457.36535645,1447.060563245379,1275.4505740457562,1454.7891581488448
243,Millwall,ENG,2,1453.76953125,1456.445763112297,1404.3990701648606,1454.4385892155742
244,Viborg,DEN,1,1453.99389648,,1207.9061236976538,1453.99389648
245,Kryliya Sovetov,RUS,1,1453.69848633,,,1453.69848633
246,Go Ahead Eagles,NED,1,1457.02941895,1435.5620209515805,1226.3273374289545,1451.662569450395
247,Pisa,ITA,2,1450.79699707,,,1450.79699707
248,Raków Częstochowa,POL,1,1507.42480469,1279.3693053275335,1284.6611809114065,1450.4109298493834
249,Konyaspor,TUR,1,1438.6751709,1482.1086135844482,,1449.533531571112
250,Antalyaspor,TUR,1,1424.65783691,1523.80871582,,1449.4455566375
251,Jagiellonia,POL,1,1456.73571777,1424.10864258,,1448.5789489724998
252,Caen,FRA,2,1445.16479492,1458.0193714746672,,1448.378439058667
253,Amorebieta,ESP,2,1446.07336426,,,1446.07336426
254,Kasimpasa,TUR,1,1436.54858398,1469.7277832,,1444.8433837850002
255,Mirandes,ESP,2,1444.12792969,,,1444.12792969
256,Stoke City,ENG,2,1436.80053711,1464.842291730668,1339.9248221053085,1443.810975765167
257,Rubin Kazan,RUS,1,1407.34240723,1551.13903809,,1443.2915649450001
258,Heerenveen,NED,1,1444.61022949,1435.115245646908,1232.4677420060548,1442.2364835292271
259,Sheriff Tiraspol,MOL,0,1453.23681641,1407.5271391784754,,1441.8093971021187
260,Aris,GRE,1,1440.80419922,,,1440.80419922
261,Paris FC,FRA,2,1466.03820801,1364.40185547,,1440.629119875
262,Huddersfield Town,ENG,2,1433.51257324,1455.9650693320302,1321.5036083740079,1439.1256972630076
263,Alanyaspor,TUR,1,1446.0078125,1414.24926758,,1438.06817627
264,Eldense,ESP,2,1437.82263184,,,1437.82263184
265,Omonia,CYP,0,1437.73999023,,,1437.73999023
266,Basel,SUI,1,1416.47009277,1500.9113486891335,1232.4677420060548,1437.5804067497834
267,Orenburg,RUS,1,1436.60986328,,,1436.60986328
268,Amiens,FRA,2,1397.96484375,1549.3391415924418,1241.6783488717049,1435.8084182106104
269,Elfsborg,SWE,1,1446.33435059,1404.1763916,,1435.7948608425002
270,Braunschweig,GER,2,1401.5670166,1537.33886719,,1435.5099792475
271,Queens Park Rangers,ENG,2,1420.0111084,1481.5055584675742,1293.8717877770569,1435.3847209168935
272,Westerlo,BEL,1,1434.7409668,,,1434.7409668
273,Rodez,FRA,2,1432.74645996,,,1432.74645996
274,Aris Limassol,CYP,0,1438.84777832,1412.9502440350145,,1432.3733947487535
275,CFR Cluj,ROM,1,1422.04406738,1457.8668790882039,1257.0293603144555,1430.9997703070508
276,Farense,POR,1,1419.6809082,1460.201468042465,,1429.8110481606163
277,Sheffield Wednesday,ENG,2,1418.6003418,1458.472149376332,1263.1697648915558,1428.568293694083
278,Plymouth Argyle,ENG,2,1434.95117188,1406.5525901750373,1204.8359214091035,1427.851526453759
279,Silkeborg,DEN,1,1443.21569824,1380.2067077216993,,1427.4634506104248
280,Pogoń Szczecin,POL,1,1457.84533691,1334.40393066,,1426.9849853475
281,Cittadella,ITA,2,1428.30395508,1419.65625,,1426.1420288099998
282,Mlada Boleslav,CZE,1,1411.26550293,1467.39257812,,1425.2972717275002
283,Ajaccio,FRA,2,1411.3815918,1464.568782794336,1198.6955168320035,1424.678389548584
284,Sivasspor,TUR,1,1433.00878906,1399.621561464057,,1424.6619821610143
285,Slovan Liberec,CZE,1,1410.45007324,1465.517196865883,,1424.2168541464707
286,Partizan,SRB,1,1404.88623047,1481.2115020167837,1306.1525969312572,1423.9675483566962
287,Slovácko,CZE,1,1437.4732666,1383.4023405117034,,1423.9555350779258
288,OB,DEN,1,1432.81567383,1396.99377441,1161.8530893694021,1423.860198975
289,CSKA Sofia,BUL,1,1439.8795166,1373.34283140705,,1423.2453453017624
290,Rosenborg,NOR,1,1400.96032715,1487.7296988298779,,1422.6526700699694
291,Magdeburg,GER,2,1422.30871582,,,1422.30871582
292,Casa Pia,POR,1,1426.1282959,1408.0980223069869,1257.0293603144555,1421.6207275017468
293,Cardiff City,ENG,2,1439.61291504,1365.8610117723008,1385.97785643356,1421.1749392230752
294,Luzern,SUI,1,1416.92895508,1432.34680176,1217.1167305633041,1420.78341675
295,St. Gallen,SUI,1,1434.8560791,1378.19311523,1266.2399671801056,1420.6903381325
296,Brann,NOR,1,1443.50939941,1347.75830078,,1419.5716247525
297,Gil Vicente,POR,1,1424.9230957,1403.4551992945346,1125.010661906801,1419.5561215986336
298,Estrela da Amadora,POR,1,1405.60583496,1454.1827132385424,,1417.7500545296355
299,Modena,ITA,2,1417.38195801,,1223.2571351404042,1417.38195801
300,Birmingham City,ENG,2,1411.81542969,1432.1621068440888,1336.8546198167583,1416.9020989785222
301,Bari,ITA,2,1423.13916016,1397.734375,,1416.7879638699999
302,Pau,FRA,2,1416.55761719,,,1416.55761719
303,Ascoli,ITA,2,1426.22558594,1382.90075684,,1415.394378665
304,Villarreal B,ESP,2,1415.24536133,,,1415.24536133
305,Wolfsberger AC,AUT,1,1397.92089844,1467.0610858108075,,1415.2059452827018
306,Troyes,FRA,2,1412.79748535,1421.9774819902009,,1415.0924845100503
307,Reggiana,ITA,2,1412.48840332,,,1412.48840332
308,Ternana,ITA,2,1416.17297363,1394.89245605,,1410.8528442349998
309,Sverdlovsk,RUS,1,1381.01147461,1498.48364258,,1410.3795166025
310,Bastia,FRA,2,1409.77819824,,,1409.77819824
311,Lautern,GER,2,1391.2277832,1462.50146484,,1409.04620361
312,Winterthur,SUI,1,1408.0378418,,1164.9232916579522,1408.0378418
313,Fakel Voronezh,RUS,1,1406.52111816,,,1406.52111816
314,Elversberg,GER,2,1406.15380859,,,1406.15380859
315,Fatih Karaguemruek,TUR,1,1405.35217285,,,1405.35217285
316,Estoril,POR,1,1406.15527344,1401.8896941748887,1174.1338985236025,1405.0888786237222
317,Ankaraguecue,TUR,1,1401.46276855,,,1401.46276855
